group,mycount
10010,1909705
10015,8
10020,777877
10025,779209
10030,89654
10035,71254
10040,40253
10045,123184
10055,147204
10095,106810
10105,449980
10110,424152
10115,230863
10120,280323
10155,1041752
10165,202736
10170,118258
10175,194197
10270,183207
10280,94151
10305,1573
10310,1088
10455,7623
10460,3002
10465,3482
10470,9911
10475,2396
11105,67115
11205,118067
11210,12853
11215,176313
11220,23148
11225,63905
11230,15626
11235,6029
11355,7360
11360,2372
11365,3493
11370,24326
11375,43343
11385,24161
11415,17851
11420,3911
11430,372752
11435,9472
10001,557394
10006,73844
10011,877827
10016,864272
10021,1983923
10026,314994
10031,114733
10036,895504
10041,180213
10106,236284
10111,116641
10121,1330488
10151,325083
10161,49707
10166,75105
10171,229654
10176,164894
10271,83871
10281,138924
10301,1478
10306,936
10311,589
10451,16270
10456,5525
10461,7202
10466,3690
10471,16076
11101,87396
11106,155320
11201,139066
11206,138508
11211,218953
11216,86606
11221,70115
11226,45333
11231,79999
11236,4109
11241,94970
11256,700
11351,1586
11356,1616
11361,3871
11366,3947
11371,358428
11411,2269
11416,2665
11421,5462
11426,1921
11436,26449
11691,3045
10002,511630
10007,220535
10012,2035044
10017,491182
10022,452592
10027,78125
10032,127358
10037,158286
10107,857044
10112,217713
10122,215787
10152,165724
10162,592508
10167,194076
10172,98009
10177,56230
10282,346296
10302,1009
10307,1453
10312,523
10452,9498
10457,3356
10462,8652
10467,7877
10472,4117
11102,85182
11207,3426
11212,5388
11217,117798
11222,263506
11232,25073
11237,84672
11242,192325
11252,4087
11357,2960
11362,2010
11367,10336
11372,35369
11377,37373
11412,1033
11417,2617
11422,5399
11427,1662
11432,6757
11692,930
11697,371
10003,2112424
10008,21667
10013,660884
10018,562778
10023,1315979
10028,1513964
10033,71529
10038,104718
10048,10
10103,136182
10118,788249
10123,195440
10128,1262214
10153,662863
10158,593689
10168,138597
10173,74315
10178,263887
10278,382662
10303,85194
10308,501
10453,13666
10458,7235
10463,22968
10468,7689
10473,1963
11103,116604
11203,6207
11208,3296
11213,30700
11218,41834
11223,9032
11228,5293
11233,25105
11238,129214
11243,128806
11358,3931
11363,3423
11368,9592
11373,23948
11378,10899
11413,2156
11418,2708
11423,2278
11428,1134
11433,1571
11693,118
10004,144670
10009,1060218
10014,1693667
10019,484620
10024,1434987
10029,325844
10034,29826
10039,47548
10044,217635
10069,230258
10099,76
10104,130687
10119,375974
10154,271392
10169,29027
10174,268543
10199,192030
10279,97422
10304,1564
10309,340
10314,345
10454,6747
10459,3848
10464,4387
10469,3409
10474,1082
11004,9065
11104,86036
11109,119007
11204,5881
11209,24380
11214,5976
11219,8191
11224,3929
11229,7335
11234,1875
11239,1079
11249,209677
11354,10296
11359,1022
11364,2193
11369,322884
11374,32029
11379,9620
11414,2134
11419,3149
11429,1261
11434,1626
11694,930